business_name,city,state,total_reviews,avg_stars,positive_review_ratio,doctor_care_score,staff_behavior_score,billing_cost_score,wait_time_score,communication_score,cleanliness_facility_score,stars_norm,sentiment_norm,reviews_norm,positive_aspects,negative_penalty,recommendation_score,recommendation_percentile,evidence_strength,doctor_vs_peer,staff_vs_peer,billing_vs_peer,wait_vs_peer,communication_vs_peer,cleanliness_vs_peer,stars_vs_peer,positive_ratio_vs_peer
Eveline Charles,Edmonton,AB,48,2.31,31.25,-0.125,-0.1875,-0.0417,-0.1667,-0.1875,0.0208,0.327499999918125,0.3125,0.0477815699657887,-0.1198,0.0,15.96,14.52,Medium,-0.1987,-0.3834,-0.0233,-0.169,-0.1921,-0.0694,-1.2774,-32.0969
"Eye Innovations: Archima Major, OD, FAAO",Drexel Hill,PA,31,2.48,35.48,-0.2581,-0.1935,-0.3226,-0.2258,-0.3548,-0.0645,0.3699999999075,0.3547999999999999,0.0187713310579884,-0.217725,0.0,15.9,14.46,Low,-0.3318,-0.3894,-0.3042,-0.2281,-0.3594,-0.1547,-1.1074,-27.8669
Monticciolo Family & Sedation Dentistry - New Port Richey,New Port Richey,FL,22,2.41,31.82,-0.2273,-0.0455,-0.2727,-0.0455,-0.1818,-0.0909,0.352499999911875,0.3182,0.0034129692832706,-0.136375,0.0,15.85,14.39,Low,-0.301,-0.2414,-0.2543,-0.0478,-0.1864,-0.1811,-1.1774,-31.5269
Tulane Medical Center,New Orleans,LA,48,2.42,33.33,-0.2708,-0.1875,-0.2083,-0.25,-0.125,-0.1875,0.35499999991125,0.3333,0.0477815699657887,-0.1926999999999999,0.0,15.85,14.39,Medium,-0.3445,-0.3834,-0.1899,-0.2523,-0.1296,-0.2777,-1.1674,-30.0169
Drexel Family Medicine - Tower Health,Philadelphia,PA,25,2.4,36.0,-0.36,0.0,-0.16,-0.16,-0.24,-0.16,0.3499999999124999,0.36,0.0085324232081765,-0.19,0.0,15.83,14.31,Low,-0.4337,-0.1959,-0.1416,-0.1623,-0.2446,-0.2502,-1.1874,-27.3469
Boise City Taxi,Boise,ID,23,2.26,30.43,0.0,-0.087,0.0435,-0.087,-0.1304,0.0,0.3149999999212499,0.3043,0.0051194539249059,-0.0543499999999999,0.02175,15.83,14.31,Low,-0.0737,-0.2829,0.0619,-0.0893,-0.135,-0.0902,-1.3274,-32.9169
St Mary Medical Center,Langhorne,PA,114,2.32,31.58,-0.193,-0.1754,-0.193,-0.2632,-0.2895,-0.2281,0.3299999999174999,0.3157999999999999,0.1604095563137194,-0.2214999999999999,0.0,15.77,14.24,High,-0.2667,-0.3713,-0.1746,-0.2655,-0.2941,-0.3183,-1.2674,-31.7669
Embassy Dental - Cool Springs,Brentwood,TN,20,2.3,30.0,0.0,0.05,-0.45,-0.2,-0.05,-0.3,0.3249999999187499,0.3,0.0,-0.075,0.0,15.75,14.2,Low,-0.0737,-0.1459,-0.4316,-0.2023,-0.0546,-0.3902,-1.2874,-33.3469
European Fitness Center,Reno,NV,100,2.31,31.0,-0.14,-0.19,-0.2,-0.11,-0.23,-0.23,0.327499999918125,0.31,0.136518771330825,-0.1975,0.0,15.67,14.16,High,-0.2137,-0.3859,-0.1816,-0.1123,-0.2346,-0.3202,-1.2774,-32.3469
Medical Center of Trinity,Trinity,FL,92,2.29,31.52,-0.2391,-0.1739,-0.2717,-0.2826,-0.2174,-0.1196,0.322499999919375,0.3152,0.1228668941977425,-0.1875,0.0,15.65,14.11,Medium,-0.3128,-0.3698,-0.2533,-0.2849,-0.222,-0.2098,-1.2974,-31.8269
America's Best Contacts & Eyeglasses,Moorestown,NJ,25,2.48,32.0,-0.28,-0.08,0.0,-0.32,-0.2,-0.16,0.3699999999075,0.32,0.0085324232081765,-0.18,0.0,15.63,14.07,Low,-0.3537,-0.2759,0.0184,-0.3223,-0.2046,-0.2502,-1.1074,-31.3469
Metry Cab Service,Metairie,LA,33,2.45,30.3,-0.0303,-0.303,-0.0909,-0.2727,-0.3333,0.0303,0.362499999909375,0.303,0.022184300341259,-0.159075,0.0,15.6,14.03,Low,-0.104,-0.4989,-0.0725,-0.275,-0.3379,-0.0599,-1.1374,-33.0469
Massage Envy - West Carmel Zionsville,Carmel,IN,26,2.38,30.77,-0.1154,-0.0769,-0.1154,-0.2692,-0.3462,0.0,0.3449999999137499,0.3077,0.0102389078498118,-0.134625,0.0,15.5,13.96,Low,-0.1891,-0.2728,-0.097,-0.2715,-0.3508,-0.0902,-1.2074,-32.5769
MedCenter,Santa Barbara,CA,69,2.33,31.88,-0.1884,-0.1304,-0.1739,-0.3188,-0.2899,-0.1304,0.332499999916875,0.3188,0.0836177474401303,-0.184775,0.0,15.5,13.96,Medium,-0.2621,-0.3263,-0.1555,-0.3211,-0.2945,-0.2206,-1.2574,-31.4669
Oral Surgery Consultants of Pennsylvania,Philadelphia,PA,22,2.45,36.36,-0.2273,-0.0909,-0.2273,-0.3182,-0.3182,-0.2727,0.362499999909375,0.3636,0.0034129692832706,-0.227275,0.0,15.47,13.83,Low,-0.301,-0.2868,-0.2089,-0.3205,-0.3228,-0.3629,-1.1374,-26.9869
Dentistry on 1st,Tucson,AZ,22,2.45,31.82,0.0909,-0.1364,-0.1364,-0.1818,-0.2273,-0.4091,0.362499999909375,0.3182,0.0034129692832706,-0.170475,0.0,15.47,13.83,Low,0.0172,-0.3323,-0.118,-0.1841,-0.2319,-0.4993,-1.1374,-31.5269
Grand View Health,Sellersville,PA,37,2.3,35.14,-0.2432,-0.027,-0.1892,-0.1892,-0.2973,-0.1351,0.3249999999187499,0.3514,0.0290102389078003,-0.17565,0.0,15.46,13.76,Low,-0.3169,-0.2229,-0.1708,-0.1915,-0.3019,-0.2253,-1.2874,-28.2069
"Biggers Family Medicine, P.A",Brandon,FL,28,2.46,32.14,-0.2143,-0.1429,-0.3214,-0.1429,0.0357,-0.4286,0.36499999990875,0.3214,0.0136518771330825,-0.187525,0.0,15.44,13.72,Low,-0.288,-0.3388,-0.303,-0.1452,0.0311,-0.5188,-1.1274,-31.2069
Western Dental & Orthodontics,Goleta,CA,146,2.12,28.08,-0.1644,-0.089,-0.2123,-0.4178,-0.1644,-0.226,0.27999999993,0.2808,0.2150170648460494,-0.1609499999999999,0.0,15.43,13.68,High,-0.2381,-0.2849,-0.1939,-0.4201,-0.169,-0.3162,-1.4674,-35.2669
"Helene M Koch, DO",Bala Cynwyd,PA,26,2.42,34.62,-0.2308,-0.1923,-0.2692,-0.1538,0.0385,-0.4231,0.35499999991125,0.3461999999999999,0.0102389078498118,-0.201925,0.0,15.42,13.63,Low,-0.3045,-0.3882,-0.2508,-0.1561,0.0339,-0.5133,-1.1674,-28.7269
Sun Valley Skin Center,Boise,ID,24,2.58,37.5,-0.375,-0.1667,-0.0833,-0.0417,-0.4167,-0.25,0.39499999990125,0.375,0.0068259385665412,-0.3021,0.0,15.29,13.5,Low,-0.4487,-0.3626,-0.0649,-0.044,-0.4213,-0.3402,-1.0074,-25.8469
Virtua W Jersey Hospital-Voorhees-Emergency Dept,Voorhees Township,NJ,29,2.34,34.48,-0.1724,-0.2069,-0.1379,-0.2759,-0.2759,-0.069,0.3349999999162499,0.3448,0.0153583617747178,-0.18105,0.0,15.28,13.46,Low,-0.2461,-0.4028,-0.1195,-0.2782,-0.2805,-0.1592,-1.2474,-28.8669
Visionworks Doctors of Optometry,Hendersonville,TN,20,2.3,30.0,0.0,-0.05,-0.1,-0.2,-0.25,-0.1,0.3249999999187499,0.3,0.0,-0.1,0.0,15.25,13.42,Low,-0.0737,-0.2459,-0.0816,-0.2023,-0.2546,-0.1902,-1.2874,-33.3469
"Lower Bucks Pediatrics, PC",Yardley,PA,26,2.42,34.62,-0.2308,-0.1154,-0.1154,-0.3077,-0.2692,-0.2308,0.35499999991125,0.3461999999999999,0.0102389078498118,-0.21155,0.0,15.23,13.35,Low,-0.3045,-0.3113,-0.097,-0.31,-0.2738,-0.321,-1.1674,-28.7269
America's Best Contacts & Eyeglasses,Springfield,PA,25,2.32,32.0,-0.08,-0.16,0.04,-0.16,-0.28,0.0,0.3299999999174999,0.32,0.0085324232081765,-0.13,0.02,15.23,13.35,Low,-0.1537,-0.3559,0.0584,-0.1623,-0.2846,-0.0902,-1.2674,-31.3469
TriStar Centennial Medical Center,Nashville,TN,54,2.37,31.48,-0.2593,-0.1852,-0.2407,-0.2778,-0.1852,-0.1481,0.342499999914375,0.3148,0.0580204778156006,-0.19445,0.0,15.13,13.29,Medium,-0.333,-0.3811,-0.2223,-0.2801,-0.1898,-0.2383,-1.2174,-31.8669
Massage Envy - Plymouth Meeting,Plymouth Meeting,PA,27,2.37,29.63,-0.037,-0.1852,-0.1852,-0.1852,-0.1481,-0.1852,0.342499999914375,0.2963,0.0119453924914471,-0.138875,0.0,15.08,13.24,Low,-0.1107,-0.3811,-0.1668,-0.1875,-0.1527,-0.2754,-1.2174,-33.7169
Western Dental & Orthodontics,Tucson,AZ,155,2.18,29.03,-0.2258,-0.0645,-0.3677,-0.3355,-0.3161,-0.2968,0.29499999992625,0.2903,0.2303754266207673,-0.2258,0.0,15.05,13.2,High,-0.2995,-0.2604,-0.3493,-0.3378,-0.3207,-0.387,-1.4074,-34.3169
Rothman Orthopaedics,Marlton,NJ,27,2.41,33.33,-0.2963,-0.1481,-0.2222,-0.3333,-0.2222,-0.1481,0.352499999911875,0.3333,0.0119453924914471,-0.203675,0.0,15.01,13.16,Low,-0.37,-0.344,-0.2038,-0.3356,-0.2268,-0.2383,-1.1774,-30.0169
Palm Tree Dentistry - Palm Harbor,Palm Harbor,FL,20,2.4,35.0,-0.3,-0.1,-0.15,-0.2,-0.3,-0.15,0.3499999999124999,0.35,0.0,-0.2125,0.0,15.0,13.11,Low,-0.3737,-0.2959,-0.1316,-0.2023,-0.3046,-0.2402,-1.1874,-28.3469
St. Luke’s Meridian Medical Center,Meridian,ID,34,2.38,35.29,-0.2941,-0.2941,-0.2059,-0.2941,-0.2059,-0.1176,0.3449999999137499,0.3529,0.0238907849828943,-0.227925,0.0,14.97,13.07,Low,-0.3678,-0.49,-0.1875,-0.2964,-0.2105,-0.2078,-1.2074,-28.0569
Patient First - Woodbury,Woodbury,NJ,24,2.42,33.33,-0.3333,-0.125,-0.1667,-0.1667,-0.375,0.0,0.35499999991125,0.3333,0.0068259385665412,-0.2083249999999999,0.0,14.92,13.03,Low,-0.407,-0.3209,-0.1483,-0.169,-0.3796,-0.0902,-1.1674,-30.0169
New Life Laser,Brentwood,TN,47,2.17,27.66,-0.2128,0.0,-0.234,-0.0638,-0.0851,-0.0213,0.292499999926875,0.2766,0.0460750853241534,-0.0798,0.0,14.79,12.98,Medium,-0.2865,-0.1959,-0.2156,-0.0661,-0.0897,-0.1115,-1.4174,-35.6869
Regional Medical Center Bayonet Point,Hudson,FL,49,2.35,32.65,-0.2449,-0.1429,-0.1633,-0.3061,-0.2449,-0.2245,0.337499999915625,0.3265,0.049488054607424,-0.2143,0.0,14.74,12.94,Medium,-0.3186,-0.3388,-0.1449,-0.3084,-0.2495,-0.3147,-1.2374,-30.6969
CVS Pharmacy,Indianapolis,IN,50,2.22,24.0,-0.12,-0.12,-0.14,-0.24,-0.06,0.04,0.30499999992375,0.24,0.0511945392490593,-0.065,0.0,14.62,12.9,Medium,-0.1937,-0.3159,-0.1216,-0.2423,-0.0646,-0.0502,-1.3674,-39.3469
Saint Francis Hospital,Wilmington,DE,23,2.3,30.43,-0.1739,-0.1739,-0.1739,-0.2609,0.0,-0.2174,0.3249999999187499,0.3043,0.0051194539249059,-0.1413,0.0,14.61,12.85,Low,-0.2476,-0.3698,-0.1555,-0.2632,-0.0046,-0.3076,-1.2874,-32.9169
Northside Hospital,St. Petersburg,FL,34,2.35,32.35,-0.2059,-0.1765,-0.2353,-0.2059,-0.2059,-0.2059,0.337499999915625,0.3235,0.0238907849828943,-0.1985499999999999,0.0,14.6,12.81,Low,-0.2796,-0.3724,-0.2169,-0.2082,-0.2105,-0.2961,-1.2374,-30.9969
CVS Pharmacy,Goleta,CA,146,2.06,21.92,-0.0822,-0.137,-0.1233,-0.3151,-0.226,0.0274,0.26499999993375,0.2192,0.2150170648460494,-0.10445,0.0,14.57,12.77,High,-0.1559,-0.3329,-0.1049,-0.3174,-0.2306,-0.0628,-1.5274,-41.4269
Belle Meade Skin & Laser,Nashville,TN,27,2.3,29.63,-0.1481,-0.0741,-0.3333,-0.2593,-0.1852,-0.1481,0.3249999999187499,0.2963,0.0119453924914471,-0.138875,0.0,14.56,12.72,Low,-0.2218,-0.27,-0.3149,-0.2616,-0.1898,-0.2383,-1.2874,-33.7169
Patient First - Collegeville,Collegeville,PA,39,2.41,28.21,-0.2564,-0.1282,-0.1026,-0.3077,-0.1795,-0.1538,0.352499999911875,0.2821,0.0324232081910709,-0.179475,0.0,14.52,12.64,Low,-0.3301,-0.3241,-0.0842,-0.31,-0.1841,-0.244,-1.1774,-35.1369
AFC Urgent Care Tyrone,St. Petersburg,FL,28,2.43,35.71,-0.25,-0.1786,-0.4286,-0.3929,-0.3571,-0.2857,0.357499999910625,0.3571,0.0136518771330825,-0.26785,0.0,14.5,12.59,Low,-0.3237,-0.3745,-0.4102,-0.3952,-0.3617,-0.3759,-1.1574,-27.6369
Saint Marys Medical Group,Reno,NV,28,2.36,32.14,-0.2857,-0.2143,-0.0714,-0.2143,-0.1429,-0.1786,0.3399999999149999,0.3214,0.0136518771330825,-0.205375,0.0,14.33,12.51,Low,-0.3594,-0.4102,-0.053,-0.2166,-0.1475,-0.2688,-1.2274,-31.2069
PowerBack Rehabilitation,Voorhees,NJ,21,2.33,33.33,-0.2857,-0.2857,-0.3333,-0.2857,-0.1429,-0.0952,0.332499999916875,0.3333,0.0017064846416353,-0.202375,0.0,14.29,12.46,Low,-0.3594,-0.4816,-0.3149,-0.288,-0.1475,-0.1854,-1.2574,-30.0169
Stokes Pharmacy,Mount Laurel,NJ,46,2.22,26.09,-0.1304,-0.0435,-0.2826,-0.2391,-0.1957,-0.0435,0.30499999992375,0.2609,0.0443686006825181,-0.103275,0.0,14.27,12.42,Medium,-0.2041,-0.2394,-0.2642,-0.2414,-0.2003,-0.1337,-1.3674,-37.2569
Tucson Orthopaedic Institute PC,Tucson,AZ,53,2.36,30.19,-0.3208,-0.1698,-0.2075,-0.2075,-0.2264,-0.1509,0.3399999999149999,0.3019,0.0563139931739653,-0.216975,0.0,14.25,12.38,Medium,-0.3945,-0.3657,-0.1891,-0.2098,-0.231,-0.2411,-1.2274,-33.1569
Labcorp,Cherry Hill,NJ,41,2.32,29.27,-0.1707,-0.2927,-0.122,-0.2439,-0.1463,-0.0976,0.3299999999174999,0.2927,0.0358361774743415,-0.176825,0.0,14.22,12.33,Medium,-0.2444,-0.4886,-0.1036,-0.2462,-0.1509,-0.1878,-1.2674,-34.0769
Harmony Wellness Center,Saint Louis,MO,76,2.22,27.63,-0.0921,-0.2237,-0.1316,-0.2895,-0.2237,-0.1184,0.30499999992375,0.2763,0.0955631399315775,-0.164475,0.0,14.2,12.29,Medium,-0.1658,-0.4196,-0.1132,-0.2918,-0.2283,-0.2086,-1.3674,-35.7169
Roxborough Memorial Hospital,Philadelphia,PA,36,2.39,30.56,-0.3056,-0.1111,-0.0556,-0.25,-0.1944,-0.25,0.347499999913125,0.3056,0.027303754266165,-0.215275,0.0,14.17,12.22,Low,-0.3793,-0.307,-0.0372,-0.2523,-0.199,-0.3402,-1.1974,-32.7869
Penn Medicine Bucks County,Yardley,PA,23,2.3,30.43,-0.2174,-0.1304,-0.087,-0.087,-0.2174,-0.087,0.3249999999187499,0.3043,0.0051194539249059,-0.16305,0.0,14.17,12.22,Low,-0.2911,-0.3263,-0.0686,-0.0893,-0.222,-0.1772,-1.2874,-32.9169
Florida Spine Institute,Clearwater,FL,54,2.33,33.33,-0.2593,-0.2222,-0.1667,-0.2593,-0.1852,-0.3519,0.332499999916875,0.3333,0.0580204778156006,-0.25465,0.0,14.08,12.16,Medium,-0.333,-0.4181,-0.1483,-0.2616,-0.1898,-0.4421,-1.2574,-30.0169
"Gerald Regni, DMD",Philadelphia,PA,29,2.17,31.03,-0.1379,0.0345,-0.2414,0.0,-0.2414,-0.2414,0.292499999926875,0.3103,0.0153583617747178,-0.14655,0.0,13.83,12.07,Low,-0.2116,-0.1614,-0.223,-0.0023,-0.246,-0.3316,-1.4174,-32.3169
"Samuel Chacon,MD - Women's Health Center of Reno",Reno,NV,26,2.46,34.62,-0.3846,-0.1923,-0.1538,-0.2692,-0.4231,-0.1923,0.36499999990875,0.3461999999999999,0.0102389078498118,-0.298075,0.0,13.8,12.03,Low,-0.4583,-0.3882,-0.1354,-0.2715,-0.4277,-0.2825,-1.1274,-28.7269
"Renee Yurovsky, DDS",Philadelphia,PA,72,2.26,30.56,-0.1944,-0.1667,-0.2778,-0.3472,-0.3194,-0.25,0.3149999999212499,0.3056,0.0887372013650362,-0.232625,0.0,13.77,11.98,Medium,-0.2681,-0.3626,-0.2594,-0.3495,-0.324,-0.3402,-1.3274,-32.7869
MedExpress Urgent Care,Hudson,FL,24,2.46,33.33,-0.2917,-0.2083,-0.1667,-0.1667,-0.4167,-0.2083,0.36499999990875,0.3333,0.0068259385665412,-0.28125,0.0,13.76,11.92,Low,-0.3654,-0.4042,-0.1483,-0.169,-0.4213,-0.2985,-1.1274,-30.0169
Visionworks Doctors of Optometry,Mt  Juliet,TN,24,2.21,29.17,-0.2083,0.0,-0.2083,-0.125,-0.2083,-0.125,0.302499999924375,0.2917,0.0068259385665412,-0.1354,0.0,13.76,11.92,Low,-0.282,-0.1959,-0.1899,-0.1273,-0.2129,-0.2152,-1.3774,-34.1769
CVS Pharmacy,Conshohocken,PA,26,2.27,23.08,-0.2308,-0.1923,-0.1154,-0.1538,-0.1154,0.1923,0.317499999920625,0.2307999999999999,0.0102389078498118,-0.0865499999999999,0.0,13.72,11.85,Low,-0.3045,-0.3882,-0.097,-0.1561,-0.12,0.1021,-1.3174,-40.2669
Catalina Smiles Dentistry,Oro Valley,AZ,29,2.38,31.03,-0.2069,0.0345,-0.2759,-0.2069,-0.3103,-0.4483,0.3449999999137499,0.3103,0.0153583617747178,-0.23275,0.0,13.68,11.81,Low,-0.2806,-0.1614,-0.2575,-0.2092,-0.3149,-0.5385,-1.2074,-32.3169
Barnes-Jewish West County Hospital,Saint Louis,MO,22,2.27,31.82,-0.1818,-0.2273,-0.1818,-0.0909,-0.1364,-0.2273,0.317499999920625,0.3182,0.0034129692832706,-0.1931999999999999,0.0,13.67,11.75,Low,-0.2555,-0.4232,-0.1634,-0.0932,-0.141,-0.3175,-1.3174,-31.5269
Au Bon Pain,Nashville,TN,65,2.31,21.54,-0.1692,-0.2,-0.2154,-0.1846,-0.0615,-0.1077,0.327499999918125,0.2153999999999999,0.076791808873589,-0.1346,0.0,13.67,11.75,Medium,-0.2429,-0.3959,-0.197,-0.1869,-0.0661,-0.1979,-1.2774,-41.8069
Patient First - East Norriton,East Norriton,PA,41,2.32,31.71,-0.2927,-0.2683,-0.1951,-0.2439,-0.2927,-0.0976,0.3299999999174999,0.3171,0.0358361774743415,-0.2378249999999999,0.0,13.61,11.68,Medium,-0.3664,-0.4642,-0.1767,-0.2462,-0.2973,-0.1878,-1.2674,-31.6369
Aspen Dental,Tampa,FL,48,2.23,29.17,-0.25,-0.0625,-0.4375,-0.2292,-0.1667,-0.25,0.307499999923125,0.2917,0.0477815699657887,-0.1823,0.0,13.59,11.62,Medium,-0.3237,-0.2584,-0.4191,-0.2315,-0.1713,-0.3402,-1.3574,-34.1769
St Joseph Hospital - St Charles,Saint Charles,MO,22,2.32,31.82,-0.2727,-0.2727,-0.2273,-0.2727,-0.2727,-0.0455,0.3299999999174999,0.3182,0.0034129692832706,-0.2159,0.0,13.59,11.62,Low,-0.3464,-0.4686,-0.2089,-0.275,-0.2773,-0.1357,-1.2674,-31.5269
Banner Urgent Care,Tucson,AZ,103,2.24,29.13,-0.2524,-0.2621,-0.1845,-0.3495,-0.3592,-0.1553,0.3099999999225,0.2913,0.141638225255731,-0.25725,0.0,13.56,11.55,High,-0.3261,-0.458,-0.1661,-0.3518,-0.3638,-0.2455,-1.3474,-34.2169
Smile Design Dentistry - Lithia,Valrico,FL,24,2.29,29.17,-0.125,-0.0833,-0.2917,-0.2917,-0.1667,-0.3333,0.322499999919375,0.2917,0.0068259385665412,-0.1770749999999999,0.0,13.53,11.51,Low,-0.1987,-0.2792,-0.2733,-0.294,-0.1713,-0.4235,-1.2974,-34.1769
TriStar Stonecrest Medical Center,Smyrna,TN,37,2.24,29.73,-0.1892,-0.1351,-0.1622,-0.3243,-0.2432,-0.1622,0.3099999999225,0.2973,0.0290102389078003,-0.182425,0.0,13.52,11.46,Low,-0.2629,-0.331,-0.1438,-0.3266,-0.2478,-0.2524,-1.3474,-33.6169
Castle Dental & Orthodontics - Nashville,Nashville,TN,21,2.29,33.33,-0.2381,0.1905,-0.2381,-0.381,-0.4286,-0.4286,0.322499999919375,0.3333,0.0017064846416353,-0.2261999999999999,0.0,13.51,11.42,Low,-0.3118,-0.0054,-0.2197,-0.3833,-0.4332,-0.5188,-1.2974,-30.0169
The Good Feet Store,Tucson,AZ,40,2.17,30.0,-0.15,-0.125,-0.3,-0.075,-0.325,-0.075,0.292499999926875,0.3,0.0341296928327062,-0.16875,0.0,13.41,11.38,Medium,-0.2237,-0.3209,-0.2816,-0.0773,-0.3296,-0.1652,-1.4174,-33.3469
Einstein Medical Center Montgomery,East Norriton,PA,107,2.21,28.04,-0.2804,-0.2336,-0.1869,-0.3832,-0.215,-0.2617,0.302499999924375,0.2804,0.1484641638222722,-0.2476749999999999,0.0,13.36,11.33,High,-0.3541,-0.4295,-0.1685,-0.3855,-0.2196,-0.3519,-1.3774,-35.3069
University of Pennsylvania School of Dental Medicine,Philadelphia,PA,47,2.13,27.66,-0.1489,-0.1915,-0.383,-0.2979,-0.1489,-0.0638,0.2824999999293749,0.2766,0.0460750853241534,-0.138275,0.0,13.32,11.29,Medium,-0.2226,-0.3874,-0.3646,-0.3002,-0.1535,-0.154,-1.4574,-35.6869
BioLife Plasma Services,Boise,ID,29,2.21,27.59,-0.1034,-0.2759,-0.0345,-0.1724,-0.2069,0.0,0.302499999924375,0.2759,0.0153583617747178,-0.1465499999999999,0.0,13.27,11.25,Low,-0.1771,-0.4718,-0.0161,-0.1747,-0.2115,-0.0902,-1.3774,-35.7569
Riddle Hospital,Media,PA,47,2.36,27.66,-0.2128,-0.2128,-0.1277,-0.2766,-0.2766,-0.2128,0.3399999999149999,0.2766,0.0460750853241534,-0.2287499999999999,0.0,13.23,11.18,Medium,-0.2865,-0.4087,-0.1093,-0.2789,-0.2812,-0.303,-1.2274,-35.6869
America's Best Contacts & Eyeglasses,Brandon,FL,24,2.25,25.0,-0.0417,0.0,-0.2083,-0.25,-0.4167,-0.0417,0.312499999921875,0.25,0.0068259385665412,-0.125025,0.0,13.23,11.18,Low,-0.1154,-0.1959,-0.1899,-0.2523,-0.4213,-0.1319,-1.3374,-38.3469
Planet Fitness,Wilmington,DE,57,2.25,22.81,-0.0702,-0.2632,-0.1053,-0.1579,-0.1053,-0.1228,0.312499999921875,0.2281,0.0631399317405065,-0.140375,0.0,13.22,11.12,Medium,-0.1439,-0.4591,-0.0869,-0.1602,-0.1099,-0.213,-1.3374,-40.5369
YouFit Gyms,Saint Petersburg,FL,44,2.3,20.45,-0.0682,-0.1818,-0.3409,-0.0455,-0.1818,-0.0227,0.3249999999187499,0.2045,0.0409556313992475,-0.1136249999999999,0.0,13.2,11.07,Medium,-0.1419,-0.3777,-0.3225,-0.0478,-0.1864,-0.1129,-1.2874,-42.8969
Wills Eye Hospital,Philadelphia,PA,102,2.16,26.47,-0.2941,-0.1667,-0.1961,-0.3235,-0.2549,-0.1569,0.2899999999275,0.2647,0.1399317406140957,-0.21815,0.0,13.05,11.03,High,-0.3678,-0.3626,-0.1777,-0.3258,-0.2595,-0.2471,-1.4274,-36.8769
Associated Dental Care - Tucson N Campbell,Tucson,AZ,33,2.18,30.3,-0.1212,-0.1212,-0.4242,-0.2727,-0.3333,-0.1818,0.29499999992625,0.303,0.022184300341259,-0.189375,0.0,12.97,10.99,Low,-0.1949,-0.3171,-0.4058,-0.275,-0.3379,-0.272,-1.4074,-33.0469
The Smile Company Dental Care,Maryland Heights,MO,35,2.31,31.43,-0.3143,0.0,-0.3143,-0.1714,-0.3429,-0.3714,0.327499999918125,0.3143,0.0255972696245296,-0.25715,0.0,12.92,10.94,Low,-0.388,-0.1959,-0.2959,-0.1737,-0.3475,-0.4616,-1.2774,-31.9169
CVS Pharmacy,Newtown,PA,22,2.32,27.27,-0.1364,-0.1818,-0.2273,-0.1818,-0.2273,-0.2273,0.3299999999174999,0.2727,0.0034129692832706,-0.1931999999999999,0.0,12.9,10.9,Low,-0.2101,-0.3777,-0.2089,-0.1841,-0.2319,-0.3175,-1.2674,-36.0769
Cherry Hill Family Dental,Cherry Hill,NJ,25,2.24,28.0,-0.04,-0.24,-0.24,-0.24,-0.2,-0.24,0.3099999999225,0.28,0.0085324232081765,-0.18,0.0,12.83,10.86,Low,-0.1137,-0.4359,-0.2216,-0.2423,-0.2046,-0.3302,-1.3474,-35.3469
Deptford Family Dental,Deptford Township,NJ,27,2.19,25.93,-0.1852,-0.037,-0.2963,-0.2963,-0.1481,-0.1852,0.297499999925625,0.2593,0.0119453924914471,-0.138875,0.0,12.81,10.81,Low,-0.2589,-0.2329,-0.2779,-0.2986,-0.1527,-0.2754,-1.3974,-37.4169
Gentle Dental Reno,Reno,NV,41,2.27,29.27,-0.0732,-0.1951,-0.2927,-0.2683,-0.3415,-0.3171,0.317499999920625,0.2927,0.0358361774743415,-0.231725,0.0,12.75,10.75,Medium,-0.1469,-0.391,-0.2743,-0.2706,-0.3461,-0.4073,-1.3174,-34.0769
CVS Optical,PHILADELPHIA,PA,29,2.21,24.14,-0.1724,-0.1379,-0.069,-0.1034,-0.2069,0.0,0.302499999924375,0.2414,0.0153583617747178,-0.1293,0.0,12.75,10.75,Low,-0.2461,-0.3338,-0.0506,-0.1057,-0.2115,-0.0902,-1.3774,-39.2069
Vanderbilt Health One Hundred Oaks,Nashville,TN,27,2.3,25.93,-0.1852,-0.1852,-0.1852,-0.2222,-0.2222,-0.1481,0.3249999999187499,0.2593,0.0119453924914471,-0.185175,0.0,12.71,10.68,Low,-0.2589,-0.3811,-0.1668,-0.2245,-0.2268,-0.2383,-1.2874,-37.4169
Sierra Tucson,Tucson,AZ,105,2.18,26.67,-0.2857,-0.2667,-0.2952,-0.181,-0.2,-0.2476,0.29499999992625,0.2667,0.1450511945390016,-0.25,0.0,12.69,10.64,High,-0.3594,-0.4626,-0.2768,-0.1833,-0.2046,-0.3378,-1.4074,-36.6769
Anderson Hospital,Maryville,IL,27,2.26,29.63,-0.2593,-0.1852,-0.1481,-0.1481,-0.1852,-0.2593,0.3149999999212499,0.2963,0.0119453924914471,-0.22225,0.0,12.59,10.59,Low,-0.333,-0.3811,-0.1297,-0.1504,-0.1898,-0.3495,-1.3274,-33.7169
Banner Health - University Medical Center Tucson Campus,Tucson,AZ,231,1.99,21.65,-0.4156,-0.2294,-0.3463,-0.3723,-0.2597,-0.2424,0.247499999938125,0.2165,0.3600682593850511,-0.286775,0.0,12.5,10.51,High,-0.4893,-0.4253,-0.3279,-0.3746,-0.2643,-0.3326,-1.5974,-41.6969
America's Best Contacts & Eyeglasses,Fairless Hills,PA,48,2.15,25.0,-0.125,-0.1458,-0.25,-0.2292,-0.2708,-0.0833,0.2874999999281249,0.25,0.0477815699657887,-0.156225,0.0,12.47,10.46,Medium,-0.1987,-0.3417,-0.2316,-0.2315,-0.2754,-0.1735,-1.4374,-38.3469
